112	1	187
112	2	204
112	3	204
112	4	258
112	5	258
112	6	62
112	7	187
112	8	187
112	9	187
112	10	161
112	11	223
116	1	187
116	2	187
116	3	118
116	4	204
25	1	258
25	2	60
25	3	62
25	4	258
25	5	258
25	6	60
25	7	60
25	8	259
25	9	187
25	10	187
25	11	62
25	12	109
26	1	62
26	2	60
26	3	258
26	4	259
26	5	187
26	6	187
26	7	258
28	1	60
28	2	62
28	3	168
32	1	57
32	2	168
32	3	62
32	4	62
33	1	223
33	2	258
33	3	265
33	4	265
33	5	258
35	1	60
35	2	265
35	3	258
35	4	187
38	1	60
38	2	265
40	1	60
40	2	118
40	3	62
40	4	258
42	1	60
42	2	62
42	3	62
42	4	62
42	5	259
42	6	187
42	7	62
42	8	62
42	9	109
42	10	109
42	11	187
45	1	62
45	2	62
45	3	223
45	4	223
47	1	60
47	2	62
47	3	62
47	4	62
47	5	259
47	6	62
47	7	109
47	8	187
48	1	223
48	2	60
48	3	223
48	4	62
48	5	62
48	6	62
48	7	187
48	8	259
48	9	62
48	10	187
49	1	223
49	2	223
49	3	258
49	4	258
49	5	258
49	6	265
49	7	187
49	8	16
49	9	187
51	1	223
51	2	62
51	3	258
51	4	258
51	5	258
51	6	258
51	7	109
51	8	62
52	1	258
52	2	258
52	3	259
52	4	223
52	5	265
52	6	265
52	7	274
53	1	223
53	2	62
53	3	258
54	1	259
54	2	62
54	3	258
54	4	258
54	5	259
54	6	223
54	7	223
546	1	187
546	2	187
546	3	187
546	4	187
546	5	187
546	6	109
546	7	109
546	8	62
546	9	97
546	10	187
546	11	187
546	12	187
546	13	62
546	14	187
55	1	258
55	2	62
55	3	258
55	4	62
55	5	62
55	6	62
55	7	62
55	8	223
55	9	60
56	1	62
56	2	223
56	3	62
56	4	161
56	5	62
56	6	62
57	1	62
57	2	258
57	3	258
57	4	62
57	5	258
57	6	258
57	7	62
57	8	60
57	9	258
57	10	259
58	1	258
58	2	258
58	3	258
58	4	258
58	5	62
58	6	60
58	7	258
58	8	62
58	9	109
58	10	87
59	1	62
59	2	258
59	3	62
59	4	62
59	5	62
59	6	62
60	1	223
60	2	62
60	3	62
60	4	62
60	5	259
60	6	62
60	7	62
60	8	187
60	9	187
60	10	161
60	11	187
60	12	258
61	1	62
61	2	259
61	3	259
61	4	259
61	5	258
61	6	258
61	7	258
61	8	259
61	9	187
62	1	60
62	2	57
62	3	265
62	4	161
62	5	161
63	1	223
63	2	60
63	3	62
63	4	258
63	5	62
63	6	258
63	7	87
63	8	87
63	9	258
64	1	258
64	2	204
64	3	62
64	4	265
64	5	223
646	1	187
646	2	187
646	3	187
646	4	97
646	5	223
646	6	161
651	1	187
651	2	62
651	3	223
651	4	118
651	5	204
651	6	118
651	7	204
651	8	204
651	9	187
651	10	187
651	11	187
651	12	204
652	1	187
652	2	118
652	3	62
652	4	109
652	5	109
652	6	187
652	7	187
652	8	187
652	9	187
652	10	62
652	11	62
655	1	187
655	2	187
655	3	187
655	4	187
655	5	187
655	6	187
656	1	223
656	2	62
656	3	187
656	4	187
66	1	265
66	2	62
66	3	204
661	1	62
661	2	258
661	3	187
661	4	62
661	5	223
661	6	109
662	1	187
662	2	187
662	3	187
662	4	187
662	5	187
662	6	187
662	7	97
662	8	62
662	9	62
662	10	168
662	11	258
662	12	258
662	13	109
662	14	161
663	1	168
663	2	187
663	3	187
663	4	187
663	5	187
663	6	187
663	7	187
663	8	187
663	9	97
663	10	161
663	11	109
663	12	62
663	13	62
663	14	62
663	15	62
664	1	187
664	2	187
664	3	187
664	4	187
664	5	161
664	6	187
668	1	187
668	2	187
668	3	187
668	4	187
668	5	187
668	6	187
668	7	187
668	8	187
668	9	187
668	10	187
669	1	187
669	2	187
669	3	187
669	4	187
669	5	187
671	1	187
671	2	187
671	3	187
671	4	104
671	5	62
672	1	187
672	2	187
672	3	187
672	4	187
672	5	187
672	6	187
672	7	187
672	8	187
672	9	187
